,tessid,tic,toi_disp,toi_period,toi_prad,toi_prad_err1,toi_prad_err2,toi_ror
0,1457.01,176860064,PC,6.375556,,,,
1,1465.01,236887394,KP,1.420035,12.39237,0.739193,-0.739193,0.14775178029652078
2,1474.01,427654774,PC,5.222621,3.721602,0.381201,-0.381201,0.12351123450240263
3,1466.01,237086564,PC,1.871529,2.491658,2.504803,-2.504803,0.030439172574788634
4,1467.01,240968774,PC,5.973383999999999,1.827003,2.4079740000000003,-2.4079740000000003,0.034095031501598615
5,1475.01,431514478,PC,8.495351,5.29617,5.2599540000000005,-5.2599540000000005,0.02579691348608629
6,1468.01,243185500,PC,15.531925,2.333273,0.274056,-0.274056,0.05786018676652965
7,1459.01,16920150,PC,9.155934,2.494909,2.5167990000000002,-2.5167990000000002,0.02779472607415697
8,1468.02,243185500,PC,1.880305,1.452351,1.925641,-1.925641,0.03601520272619454
9,1460.01,17005768,PC,6.842650999999999,17.104019,7.614216000000001,-7.614216000000001,0.138839395499025
10,1461.01,44631965,PC,3.568678,20.250375,1.2539209999999998,-1.2539209999999998,0.14428878638283965
11,1469.01,283722336,KP,3.0931319999999998,1.211932,0.8952120000000001,-0.8952120000000001,0.01478670773969555
12,1469.02,283722336,KP,6.765434,1.4675040000000001,0.214292,-0.214292,0.017904925981683938
13,1470.01,284441182,PC,2.5271529999999998,2.131293,2.685644,-2.685644,0.039823678474659265
14,1476.01,432549364,KP,1.217509,12.13839,0.621737,-0.621737,0.07602682033429993
15,1471.01,306263608,PC,20.772024,4.282738,0.245827,-0.245827,0.040595303237372087
16,1472.01,306955329,PC,6.364103,4.3075980000000005,1.126736,-1.126736,0.045898502336869956
17,1462.01,188768068,PC,2.178256,1.273608,1.332074,-1.332074,0.009224547273848879
18,1463.01,190998418,KP,2.8793029999999997,12.573876,0.763178,-0.763178,0.10331200108379687
19,1473.01,352413427,PC,5.255294,2.49336,0.456442,-0.456442,0.02301033499438199
20,1464.01,229944666,PC,11.327525,3.304004,0.600841,-0.600841,0.03539613639495532
21,1458.01,191284318,KP,2.77598,14.6552,0.758035,-0.758035,0.10823574322580644
22,1477.01,240681314,KP,2.732681,17.96063,1.007423,-1.007423,0.10199195735129066
23,1478.01,409794137,PC,10.18708,8.491710000000001,0.437379,-0.437379,0.07477603863461539
24,1484.01,67309890,PC,1.1623700000000001,8.9478,0.6259319999999999,-0.6259319999999999,0.034869766978723404
25,1502.01,410528770,PC,2.75347,22.6417,6.842860000000001,-6.842860000000001,0.08603846
26,1538.01,177244357,PC,6.54692,5.628819999999999,0.41755200000000003,-0.41755200000000003,0.0460256549642857
27,1527.01,202375913,PC,5.06203,15.2835,0.66155,-0.66155,0.050712425
28,1503.01,428065977,PC,1.65445,3.5808199999999997,0.276221,-0.276221,0.022461061342465755
29,1493.01,15692883,PC,5.14124,18.0411,1.10742,-1.10742,0.0569725495862069
30,1494.01,411608801,PC,5.02647,13.2793,0.6810069999999999,-0.6810069999999999,0.082170155
31,1539.01,252636888,PC,2.58929,7.91085,0.628238,-0.628238,0.022499243571428566
32,1516.01,376637093,PC,2.05603,16.4042,0.707635,-0.707635,0.12115295451612902
33,1504.01,326114850,PC,1.2456399999999999,3.69201,0.278543,-0.278543,0.022540951719999997
34,1528.01,285543785,PC,9.93856,,,,
35,1550.01,241065596,PC,1.62315,20.948,1.88966,-1.88966,0.04725167093596059
36,1517.01,455962313,PC,4.51083,,,,
37,1529.01,312259170,PC,0.8229,,,,
38,1551.01,288348498,PC,1.67546,6.4488900000000005,0.417778,-0.417778,0.03317917675280899
39,1518.01,427761355,PC,1.90261,19.7606,1.5740100000000001,-1.5740100000000001,0.09943273340659341
40,1505.01,331034236,PC,3.42985,4.55945,0.31992600000000004,-0.31992600000000004,0.020171711642512077
41,1530.01,312469860,PC,0.50261,6.28067,,,0.03444214123353293
42,1552.01,326919774,PC,7.57193,10.2119,0.8527540000000001,-0.8527540000000001,0.01981368224576271
43,1531.01,312678993,PC,0.51731,9.43702,0.6329899999999999,-0.6329899999999999,0.03964414181651376
44,1553.01,327341626,PC,5.93815,19.9984,3.0634,-3.0634,0.08890550834951456
45,1519.01,272049972,PC,1.09589,10.0668,1.4169200000000002,-1.4169200000000002,0.1355761094117647
46,1540.01,318746829,PC,5.23121,,,,
47,1520.01,269238073,PC,6.15501,3.8913800000000003,0.25033299999999997,-0.25033299999999997,0.023758172026666666
48,1482.01,252616865,PC,5.71204,15.6047,0.653197,-0.653197,0.07983678357541898
49,1487.01,459978312,PC,23.287979999999997,14.6492,,,0.014989650681564246
50,1541.01,319068154,PC,3.7973800000000004,15.4506,,,0.059956184237288136
51,1521.01,366074069,PC,4.1810599999999996,16.9776,0.8139430000000001,-0.8139430000000001,0.06730773194805194
52,1542.01,367607434,PC,8.2916,6.71582,,,0.01983983211612903
53,1532.01,327579226,PC,8.90592,12.8046,0.6250359999999999,-0.6250359999999999,0.0831663310638298
54,1506.01,64836837,PC,10.91188,14.1108,0.813397,-0.813397,0.038346203679525216
55,1533.01,345143460,PC,3.6462,2.8086,0.24624899999999997,-0.24624899999999997,0.029228589545454545
56,1507.01,430677414,PC,0.46741000000000005,7.77804,4.12785,-4.12785,0.04024366684745763
57,1522.01,367102581,PC,2.97962,4.456119999999999,0.258131,-0.258131,0.021592141248677248
58,1523.01,387413037,PC,6.726939999999999,5.19273,0.35160399999999997,-0.35160399999999997,0.031081713294117644
59,1543.01,431585347,PC,5.13664,7.041519999999999,0.518367,-0.518367,0.027795793172413787
60,1544.01,455791689,PC,1.29165,,,,
61,1508.01,415741431,PC,2.1568,12.1828,0.8348190000000001,-0.8348190000000001,0.028829478656330745
62,1534.01,354600221,PC,1.4185299999999998,3.93221,0.315846,-0.315846,0.02143522570238095
63,1480.01,335483600,PC,3.3540400000000004,,,,
64,1488.01,198457103,PC,0.47225,1.64337,0.11123399999999999,-0.11123399999999999,0.007757722917525773
65,1483.01,452803785,PC,5.00626,5.92416,0.377216,-0.377216,0.049773814018348614
66,1495.01,431148743,PC,2.6286400000000003,,,,
67,1535.01,420288086,PC,6.534269999999999,20.4061,2.71884,-2.71884,0.07187656299999999
68,1545.01,127425841,PC,1.51614,10.1779,0.5599649999999999,-0.5599649999999999,0.04569078833333333
69,1485.01,377191482,PC,2.95607,9.30465,,,0.01381069444084279
70,1489.01,219751469,PC,6.98301,13.6402,,,0.014871065666666666
71,1479.01,421308357,PC,16.68356,16.0937,1.0724200000000002,-1.0724200000000002,0.05438601645756457
72,1536.01,445137888,PC,2.0139,7.370310000000001,0.8644379999999999,-0.8644379999999999,0.025185559320895525
73,1546.01,194203348,PC,1.13345,3.03424,0.26813899999999996,-0.26813899999999996,0.01984826422857143
74,1496.01,384045439,PC,10.82661,11.5303,2.66157,-2.66157,0.15528601088235292
75,1509.01,272828463,PC,0.78877,19.4628,5.52926,-5.52926,0.06125096989690722
76,1497.01,371673488,PC,0.8158,3.6908800000000004,0.23233600000000001,-0.23233600000000001,0.018270853535135134
77,1510.01,377739433,PC,1.23852,7.11712,0.485025,-0.485025,0.01917017204705882
78,1524.01,314338017,PC,10.95478,13.6947,,,0.018470701413843885
79,1511.01,376682699,PC,1.10264,24.3905,6.03547,-6.03547,0.1116840995
80,1490.01,283474780,PC,3.9943,11.9767,,,0.021464308923679058
81,1486.01,233541860,PC,0.26665,1.2135799999999999,0.10900399999999999,-0.10900399999999999,0.0176412153015873
82,1491.01,53875855,PC,4.4932099999999995,6.23728,0.368209,-0.368209,0.04643984572357723
83,1481.01,197650870,PC,4.37035,35.3634,12.0772,-12.0772,0.08056169582089552
84,1512.01,434718964,PC,1.59748,,,,
85,1498.01,316402246,PC,1.3978700000000002,28.9755,3.68209,-3.68209,0.16584851812499998
86,1547.01,409520860,PC,0.71933,3.4564800000000004,0.319342,-0.319342,0.02198225266666667
87,1525.01,276380902,PC,0.61724,6.8685,0.49408900000000006,-0.49408900000000006,0.02003239585987261
88,1499.01,414870287,PC,4.95898,,,,
89,1513.01,269509393,PC,1.7658900000000002,4.06597,0.31643000000000004,-0.31643000000000004,0.02402332468387097
90,1548.01,440100539,PC,12.6017,3.34292,0.265927,-0.265927,0.02530120773553719
91,1537.01,173612049,PC,6.49052,3.1970099999999997,0.22403800000000001,-0.22403800000000001,0.030498143312499996
92,1500.01,377420580,PC,1.4166,,,,
93,1514.01,270238522,PC,1.36991,11.8886,0.65532,-0.65532,0.029910933736263735
94,1492.01,354594208,PC,0.8667299999999999,3.54647,0.369081,-0.369081,0.025982857808
95,1549.01,191146556,PC,2.58593,14.1871,7.7246,-7.7246,0.08491860248366011
96,1515.01,470709084,PC,3.6632800000000003,7.712339999999999,,,0.030443797293103446
97,1501.01,329145325,PC,1.0767200000000001,17.3316,5.319369999999999,-5.319369999999999,0.10045746379746835
98,1526.01,313761775,PC,1.5312700000000001,5.5149300000000006,0.417825,-0.417825,0.021220894512605042
99,1554.01,299158887,KP,9.435260000000001,5.975876,0.757458,-0.757458,0.05833397899736508
100,1555.01,441732151,PC,2.0998900000000003,10.1564,1.58125,-1.58125,0.08943491461538461
101,1556.01,405794804,PC,1.44127,9.20279,0.314565,-0.314565,0.051078273224242424
102,1557.01,320506985,PC,1.08697,4.98445,0.41457200000000005,-0.41457200000000005,0.02701041011834319
103,1558.01,117322779,PC,0.68601,,,,
104,1559.01,241040309,PC,3.4647900000000003,9.20223,0.922291,-0.922291,0.0331787489527559
105,1560.01,241076290,PC,0.25792,8.51808,1.06722,-1.06722,0.037324677818181815
106,1561.01,245462406,PC,2.2745599999999997,13.265999999999998,3.23854,-3.23854,0.03626567999999999
107,1562.01,249862365,PC,0.9899899999999999,3.95137,0.34913099999999997,-0.34913099999999997,0.019666655684782607
108,1563.01,249945230,PC,,4.87484,0.40944200000000003,-0.40944200000000003,0.060329438810810807
109,1564.01,250724252,PC,0.5597300000000001,,,,
110,1565.01,251384275,PC,,23.8658,,,0.10025825522935779
111,1566.01,256414077,PC,3.01106,7.2070300000000005,1.30585,-1.30585,0.040492012723926385
112,1567.01,259151170,PC,,21.0557,1.45218,-1.45218,0.224218721627907
113,1568.01,284050395,PC,1.35932,10.3751,2.44543,-2.44543,0.10107996361702128
114,1569.01,285666479,PC,1.7161400000000002,14.1349,0.928386,-0.928386,0.026310450040650406
115,1570.01,285674856,PC,1.74626,5.62786,0.44852,-0.44852,0.02863330104444444
116,1571.01,285677945,PC,1.2427,6.05271,0.461873,-0.461873,0.025902204757009342
117,1572.01,292321872,PC,8.66698,27.4804,9.09318,-9.09318,0.09986726317460316
118,1573.01,302773669,KP,,12.241705,0.640634,-0.640634,0.07227930214820831
119,1574.01,307111282,PC,,11.3282,0.5656439999999999,-0.5656439999999999,0.08573855834710743
120,1575.01,316254876,PC,2.4609400000000003,13.5975,4.6637900000000005,-4.6637900000000005,0.07456641017964072
121,1576.01,327011842,PC,0.7842399999999999,11.2559,,,0.01912458853432282
122,1577.01,332154944,PC,0.9983700000000001,5.2948900000000005,0.268196,-0.268196,0.042912037716814164
123,1578.01,348135793,PC,1.97741,17.5768,0.859208,-0.859208,0.07628831014218009
124,1579.01,354400186,PC,9.07768,,,,
125,1580.01,354469661,PC,4.79539,18.0648,0.818419,-0.818419,0.07588873321100917
126,1581.01,370759867,PC,,18.6201,5.67282,-5.67282,0.17579677917525774
